City,x
Lonoke,80.00
Lorain,237.00
Los Alamos,8.00
Los Angeles,869135.00
Loudon,34.00
Loudoun,96.00
Louisa,60.00
Loup,1.00
Love,21.00
Lowndes,501.00
Lubbock,1220.00
Lucas,3393.00
Luce,8.00
Lumpkin,27.00
Luna,48.00
Lunenburg,31.00
Luzerne,450.00
Lycoming,79.00
Lyman,1.00
Lynchburg,244.00
Lynn,14.00
Lyon,102.00
Mackinac,7.00
Macomb,681.00
Macon,342.00
Macoupin,5.00
Madera,404.00
Madison,10901.00
Magoffin,24.00
Mahaska,8.00
Mahnomen,6.00
Mahoning,2780.00
Major,5.00
Malheur,37.00
Manassas,46.00
Manassas Park,7.00
Manatee,146101.00
Manistee,18.00
Manitowoc,35.00
Marathon,56.00
Marengo,46.00
Maricopa,53010.00
Maries,5.00
Marin,185.00
Marinette,27.00
Marion,149429.00
Mariposa,33.00
Marlboro,179.00
Marquette,40.00
Marshall,321.00
Martin,31034.00
Martinsville,102.00
Mason,162.00
Massac,7.00
Matagorda,137.00
Matanuska-Susitna,10.00
Mathews,15.00
Maui,112.00
Maury,181.00
Maverick,50.00
Mayes,158.00
McClain,37.00
McCone,1.00
McCook,1.00
McCormick,26.00
McCracken,173.00
McCreary,27.00
McCulloch,11.00
McCurtain,211.00
McDonald,27.00
McDonough,5.00
McDowell,233.00
McDuffie,41.00
McHenry,28.00
McIntosh,77.00
McKean,22.00
McKenzie,6.00
McKinley,132.00
McLean,56.00
McLennan,1039.00
McLeod,12.00
McMinn,86.00
McMullen,2.00
McNairy,15.00
McPherson,10.00
Meade,31.00
Meagher,3.00
Mecklenburg,10670.00
Mecosta,20.00
Medina,104.00
Meeker,8.00
Meigs,21.00
Menard,7.00
Mendocino,248.00
Menifee,7.00
Menominee,31.00
Merced,667.00
Mercer,1812.00
Meriwether,46.00
Merrick,7.00
Merrimack,81.00
Mesa,193.00
Metcalfe,8.00
Miami,89.00
Miami-Dade,187671.00
Middlesex,1339.00
Midland,309.00
Mifflin,24.00
Milam,53.00
Millard,13.00
Mille Lacs,20.00
Miller,173.00
Mills,9.00
Milwaukee,22322.00
Miner,6.00
Mineral,42.00
Mingo,105.00
Minidoka,15.00
Minnehaha,115.00
Missaukee,5.00
Mississippi,317.00
Missoula,57.00
Mitchell,86.00
Mobile,4623.00
Modoc,25.00
Moffat,17.00
Mohave,388.00
Moniteau,5.00
Monmouth,440.00
Mono,7.00
Monona,1.00
Monongalia,72.00
Monroe,25560.00
Montague,33.00
Montcalm,64.00
Monterey,1519.00
Montezuma,39.00
Montgomery,11540.00
Montmorency,15.00
Montour,6.00
Montrose,28.00
Moody,2.00
Moore,203.00
Mora,1.00
Morehouse,73.00
Morgan,362.00
Morris,220.00
Morrison,17.00
Morrow,32.00
Morton,18.00
Motley,4.00
Moultrie,1.00
Mountrail,7.00
Mower,24.00
Muhlenberg,24.00
Multnomah,4168.00
Murray,57.00
Muscatine,34.00
