zipcode,centile,superzip,rank,city,state,latitude,longitude,incident
11020,99.15217,1,145,Great Neck,NY,40.75,-73.60,265.00
20194,99.14893,1,146,Reston,VA,38.98,-77.34,4.00
22957,99.14643,1,,Montpelier Station,VA,38.23,-78.18,6.00
35649,99.14642,1,,Mooresville,AL,34.63,-86.87,203.00
6877,99.14211,1,147,Ridgefield,CT,41.31,-73.49,15474.00
7928,99.13438,1,148,Chatham,NJ,40.76,-74.50,2578.00
10526,99.13068,1,149,Goldens Bridge,NY,41.30,-73.65,2.00
10017,99.12652,1,150,New York,NY,40.75,-73.97,2560664.00
60305,99.12067,1,151,River Forest,IL,41.81,-87.69,28.00
10128,99.10585,1,152,New York,NY,40.78,-73.95,2560664.00
6612,99.09166,1,153,Easton,CT,41.27,-73.30,25.00
10527,99.09011,1,154,Granite Springs,NY,41.32,-73.76,3.00
37350,99.08952,1,155,Lookout Mountain,TN,35.13,-85.30,80.00
94305,99.08792,1,156,Stanford,CA,37.19,-121.71,96.00
7417,99.08479,1,157,Franklin Lakes,NJ,41.01,-74.21,20084.00
76092,99.07948,1,158,Southlake,TX,32.95,-97.15,57.00
11765,99.07595,1,,Mill Neck,NY,40.75,-73.60,53.00
12507,99.07578,1,,Barrytown,NY,42.00,-73.92,63.00
7979,99.07565,1,,Pottersville,NJ,40.71,-74.75,983.00
94941,99.06966,1,159,Mill Valley,CA,37.89,-122.56,53.00
66209,99.06036,1,160,Leawood,KS,38.90,-94.64,62.00
90266,99.05013,1,161,Manhattan Beach,CA,33.79,-118.30,146101.00
20124,99.04073,1,162,Clifton,VA,38.78,-77.38,1310.00
7620,99.03786,1,163,Alpine,NJ,40.96,-73.93,6.00
98222,99.03754,1,,Blakely Island,WA,48.61,-122.92,102.00
7450,99.03304,1,164,Ridgewood,NJ,40.98,-74.11,15474.00
75093,99.02061,1,165,Plano,TX,33.03,-96.81,238.00
94304,99.01231,1,166,Palo Alto,CA,37.19,-121.71,1.00
10014,99.0041,1,167,New York,NY,40.74,-74.01,2560664.00
38139,98.9938,1,168,Germantown,TN,35.08,-89.76,132.00
18357,98.99128,1,,Skytop,PA,41.23,-75.24,21.00
7760,98.98946,1,169,Rumson,NJ,40.37,-74.01,395.00
48304,98.98427,1,170,Bloomfield Hills,MI,42.59,-83.24,13.00
94549,98.97626,1,171,Lafayette,CA,37.90,-122.12,2005.00
2461,98.97039,1,172,Newton Highlands,MA,42.36,-71.21,345.00
22207,98.96333,1,173,Arlington,VA,38.91,-77.12,225.00
92091,98.95721,1,174,Rancho Santa Fe,CA,32.96,-117.05,1457.00
21210,98.95469,1,175,Baltimore,MD,39.35,-76.63,2688.00
90743,98.95244,1,,Surfside,CA,33.64,-117.77,80.00
7930,98.95096,1,176,Chester,NJ,40.78,-74.68,481.00
8540,98.9418,1,177,Princeton,NJ,40.34,-74.69,354.00
60035,98.92835,1,178,Highland Park,IL,42.19,-87.81,20.00
92130,98.91756,1,179,San Diego,CA,32.95,-117.16,20807.00
6269,98.91236,1,,Storrs Mansfield,CT,41.81,-72.25,9.00
30326,98.91203,1,180,Atlanta,GA,33.85,-84.36,16.00
91011,98.90812,1,181,La Canada Flintridge,CA,33.79,-118.30,3.00
50323,98.9043,1,182,Urbandale,IA,41.63,-93.77,13.00
92014,98.90118,1,183,Del Mar,CA,32.97,-117.22,44.00
1772,98.89675,1,184,Southborough,MA,42.30,-71.53,57.00
95120,98.88841,1,185,San Jose,CA,37.38,-121.90,5277.00
33146,98.87959,1,186,Miami,FL,25.56,-80.46,89.00
95480,98.87765,1,,Stewarts Point,CA,38.68,-123.37,22.00
94065,98.87546,1,187,Redwood City,CA,37.53,-122.25,7.00
1719,98.87241,1,188,Boxborough,MA,42.45,-71.46,24.00
20814,98.86617,1,189,Bethesda,MD,39.00,-77.10,25.00
2492,98.85716,1,190,Needham,MA,42.28,-71.25,118.00
94556,98.8506,1,191,Moraga,CA,37.84,-122.10,1.00
1778,98.84517,1,192,Wayland,MA,42.45,-71.46,10.00
8858,98.84264,1,,Oldwick,NJ,40.69,-74.75,47.00
22213,98.84206,1,193,Arlington,VA,38.89,-77.16,225.00
81656,98.84145,1,,Woody Creek,CO,39.28,-106.90,25.00
20862,98.8413,1,,Brinklow,MD,39.18,-77.02,18.00
2421,98.83808,1,194,Lexington,MA,42.44,-71.23,488.00
93108,98.83241,1,195,Santa Barbara,CA,34.44,-119.62,499.00
7924,98.82852,1,196,Bernardsville,NJ,40.73,-74.59,5278.00
22102,98.82337,1,197,McLean,VA,38.95,-77.23,56.00
94618,98.81625,1,198,Oakland,CA,37.84,-122.24,54.00
94904,98.81033,1,199,Greenbrae,CA,37.95,-122.54,9.00
7028,98.80645,1,200,Glen Ridge,NJ,40.81,-74.21,2.00
22027,98.80481,1,201,Dunn Loring,VA,38.90,-77.22,12.00
10536,98.8026,1,202,Katonah,NY,41.27,-73.69,18.00
1742,98.79735,1,203,Concord,MA,42.45,-71.46,5.00
59636,98.79404,1,,Fort Harrison,MT,46.61,-112.12,572.00
3750,98.79387,1,204,Etna,NH,43.70,-72.22,20.00
92660,98.78767,1,205,Newport Beach,CA,33.64,-117.88,51.00
78733,98.78012,1,206,Austin,TX,30.32,-97.89,43.00
77056,98.77555,1,207,Houston,TX,29.70,-95.21,620.00
77059,98.76967,1,208,Houston,TX,29.58,-95.12,620.00
1921,98.76546,1,209,Boxford,MA,42.68,-71.02,24.00
16155,98.76405,1,,Villa Maria,PA,40.99,-80.31,18.00
25866,98.76401,1,,Lochgelly,WV,38.04,-81.06,23.00
8502,98.76075,1,210,Belle Mead,NJ,40.46,-74.65,839.00
98040,98.75327,1,211,Mercer Island,WA,47.56,-122.23,1812.00
94306,98.74417,1,212,Palo Alto,CA,37.19,-121.71,1.00
10706,98.73749,1,213,Hastings on Hudson,NY,40.99,-73.86,35.00
77027,98.73258,1,214,Houston,TX,29.69,-95.30,620.00
19437,98.72939,1,,Gwynedd Valley,PA,40.18,-75.26,1248.00
92861,98.72816,1,215,Villa Park,CA,33.64,-117.77,18.00
33158,98.72584,1,216,Miami,FL,25.56,-80.46,89.00
60010,98.71727,1,217,Barrington,IL,42.27,-88.07,41.00
21029,98.70856,1,218,Clarksville,MD,39.21,-76.95,364.00
3755,98.70599,1,219,Hanover,NH,43.86,-72.12,100.00
2420,98.70203,1,220,Lexington,MA,42.46,-71.22,488.00
60015,98.6944,1,221,Deerfield,IL,42.18,-87.87,12.00
80016,98.68814,1,222,Aurora,CO,39.60,-104.74,98.00
66220,98.68657,1,223,Lenexa,KS,38.96,-94.82,56.00
12429,98.68627,1,,Esopus,NY,41.82,-73.99,4.00
19072,98.68438,1,224,Narberth,PA,40.02,-75.26,121.00
94939,98.68105,1,225,Larkspur,CA,37.94,-122.53,178.00
30005,98.675,1,226,Alpharetta,GA,34.08,-84.23,20.00
2445,98.66527,1,227,Brookline,MA,42.32,-71.14,4.00
10006,98.65981,1,228,New York,NY,40.71,-74.01,2560664.00
30306,98.65487,1,229,Atlanta,GA,33.79,-84.36,16.00
7901,98.64594,1,230,Summit,NJ,40.71,-74.36,1451.00
1720,98.63803,1,231,Acton,MA,42.45,-71.46,85.00
90265,98.6308,1,232,Malibu,CA,33.79,-118.30,37.00
92602,98.62663,1,233,Irvine,CA,33.72,-117.72,5.00
33480,98.62337,1,234,Palm Beach,FL,26.60,-80.04,726167.00
90290,98.6195,1,235,Topanga,CA,33.79,-118.30,95.00
48009,98.61438,1,236,Birmingham,MI,42.53,-83.22,35.00
94526,98.60411,1,237,Danville,CA,37.91,-122.05,252.00
2114,98.59532,1,238,Boston,MA,42.36,-71.02,268.00
22308,98.59038,1,239,Alexandria,VA,38.73,-77.06,242.00
63105,98.5852,1,240,Saint Louis,MO,38.65,-90.33,17.00
10501,98.58232,1,,Amawalk,NY,41.29,-73.76,31.00
1467,98.58216,1,,Still River,MA,42.49,-71.61,22.00
7059,98.57956,1,241,Warren,NJ,40.63,-74.53,838.00
55424,98.57519,1,242,Minneapolis,MN,44.91,-93.34,15.00
10016,98.56199,1,243,New York,NY,40.75,-73.98,2560664.00
1740,98.54984,1,244,Bolton,MA,42.44,-71.61,11.00
10533,98.54768,1,245,Irvington,NY,41.08,-73.86,5.00
19096,98.54367,1,246,Wynnewood,PA,40.05,-75.16,1947.00
37215,98.53667,1,247,Nashville,TN,36.09,-86.89,566.00
64113,98.53004,1,248,Kansas City,MO,39.01,-94.53,151.00
20037,98.52589,1,249,Washington,DC,38.92,-77.06,11211.00
78738,98.52341,1,250,Austin,TX,30.33,-98.01,43.00
7733,98.52002,1,251,Holmdel,NJ,40.38,-74.17,119.00
20171,98.51144,1,252,Herndon,VA,38.93,-77.39,33156.00
11753,98.50344,1,253,Jericho,NY,40.75,-73.60,31.00
20777,98.50066,1,254,Highland,MD,39.17,-76.97,20.00
20880,98.50002,1,,Washington Grove,MD,39.14,-77.17,11211.00
45174,98.49956,1,255,Terrace Park,OH,39.15,-84.33,15.00
10590,98.49787,1,256,South Salem,NY,41.25,-73.54,643.00
19025,98.49564,1,257,Dresher,PA,40.16,-75.41,2400.00
19087,98.48898,1,258,Wayne,PA,39.99,-75.37,390694.00
6092,98.48254,1,259,West Simsbury,CT,41.87,-72.85,17.00
7934,98.48149,1,260,Gladstone,NJ,40.72,-74.68,1219.00
1718,98.48111,1,,Village of Nagog Woods,MA,42.45,-71.46,18.00
48374,98.47913,1,261,Novi,MI,42.47,-83.52,39.00
18977,98.4765,1,262,Washington Crossing,PA,40.28,-74.88,11211.00
60558,98.4735,1,263,Western Springs,IL,41.81,-87.69,1314.00
1890,98.46716,1,264,Winchester,MA,42.45,-71.15,24.00
10502,98.46217,1,265,Ardsley,NY,41.02,-73.84,11.00
19333,98.45978,1,266,Devon,PA,40.04,-75.43,6.00
80111,98.4537,1,267,Englewood,CO,39.67,-104.86,27.00
76034,98.44569,1,268,Colleyville,TX,32.89,-97.14,189.00
31411,98.44061,1,269,Savannah,GA,31.94,-81.05,11.00
7401,98.43779,1,270,Allendale,NJ,41.02,-74.06,57.00
19010,98.4328,1,271,Bryn Mawr,PA,39.96,-75.34,95.00
7946,98.42848,1,272,Millington,NJ,40.68,-74.51,173.00
77382,98.42561,1,273,Spring,TX,29.83,-95.43,93.00
48025,98.42044,1,274,Franklin,MI,42.52,-83.26,20084.00
10570,98.41544,1,275,Pleasantville,NY,41.13,-73.79,9.00
75024,98.40967,1,276,Plano,TX,33.10,-96.81,238.00
95014,98.39587,1,277,Cupertino,CA,37.19,-121.71,2.00
60069,98.38433,1,278,Lincolnshire,IL,42.31,-87.99,850.00
8836,98.38225,1,279,Martinsville,NJ,40.60,-74.55,102.00
3233,98.38146,1,,Elkins,NH,43.42,-71.94,259.00
90254,98.37722,1,280,Hermosa Beach,CA,33.79,-118.30,27.00
55439,98.37129,1,281,Minneapolis,MN,44.87,-93.38,15.00
60192,98.36923,1,282,Hoffman Estates,IL,42.09,-88.12,30.00
95041,98.3689,1,,Mount Hermon,CA,37.05,-122.06,1.00
7090,98.36279,1,283,Westfield,NJ,40.65,-74.35,1314.00
11023,98.35509,1,284,Great Neck,NY,40.75,-73.60,265.00
94611,98.34581,1,285,Oakland,CA,37.85,-122.22,54.00
48323,98.33481,1,286,West Bloomfield,MI,42.57,-83.38,68.00
45384,98.33145,1,,Wilberforce,OH,39.71,-83.88,31.00
66224,98.33035,1,287,Overland Park,KS,38.86,-94.63,60.00
60564,98.3243,1,288,Naperville,IL,41.68,-88.20,121.00
91105,98.317,1,289,Pasadena,CA,33.79,-118.30,11.00
91436,98.31201,1,290,Encino,CA,33.79,-118.30,27.00
7670,98.30677,1,291,Tenafly,NJ,40.92,-73.96,33.00
33149,98.30222,1,292,Key Biscayne,FL,25.71,-80.17,1.00
44022,98.29675,1,293,Chagrin Falls,OH,41.45,-81.43,10.00
2446,98.28738,1,294,Brookline,MA,42.34,-71.12,4.00
6896,98.27987,1,295,Redding,CT,41.27,-73.39,8.00
48070,98.27714,1,296,Huntington Woods,MI,42.48,-83.17,21.00
78732,98.27521,1,297,Austin,TX,30.38,-97.89,43.00
7869,98.27005,1,298,Randolph,NJ,40.84,-74.59,372.00
7481,98.26258,1,299,Wyckoff,NJ,41.00,-74.17,1947.00
11024,98.25826,1,300,Great Neck,NY,40.75,-73.60,265.00
20197,98.25678,1,301,Waterford,VA,39.19,-77.63,42.00
93953,98.25553,1,302,Pebble Beach,CA,36.58,-121.94,39.00
66213,98.24994,1,303,Overland Park,KS,38.90,-94.70,60.00
53122,98.24416,1,304,Elm Grove,WI,43.05,-88.09,4.00
48306,98.23888,1,305,Rochester,MI,42.73,-83.16,1068.00
6525,98.23312,1,306,Woodbridge,CT,41.35,-73.01,226.00
7452,98.22934,1,307,Glen Rock,NJ,40.96,-74.13,2.00
46814,98.22585,1,308,Fort Wayne,IN,41.05,-85.31,572.00
2116,98.2205,1,309,Boston,MA,42.35,-71.09,268.00
77030,98.21427,1,310,Houston,TX,29.83,-95.43,620.00
18035,98.21201,1,,Cherryville,PA,40.75,-75.54,4.00
78731,98.20721,1,311,Austin,TX,30.35,-97.77,43.00
75022,98.20007,1,312,Flower Mound,TX,33.03,-97.12,508.00
2467,98.1961,1,313,Chestnut Hill,MA,42.36,-71.21,559.00
11577,98.19218,1,314,Roslyn Heights,NY,40.75,-73.60,5.00
7704,98.18887,1,315,Fair Haven,NJ,40.36,-74.04,9.00
40059,98.1858,1,316,Prospect,KY,38.34,-85.60,354.00
78257,98.18333,1,317,San Antonio,TX,29.44,-98.46,195.00
4110,98.18264,1,318,Cumberland Foreside,ME,43.76,-70.20,2655.00
19312,98.18027,1,319,Berwyn,PA,40.03,-75.46,79.00
10010,98.17231,1,320,New York,NY,40.74,-73.98,2560664.00
6001,98.16338,1,321,Avon,CT,41.76,-72.73,23.00
7627,98.15937,1,322,Demarest,NJ,40.95,-73.96,46.00
2052,98.15637,1,323,Medfield,MA,42.18,-71.31,20.00
20148,98.1536,1,324,Ashburn,VA,39.01,-77.53,194.00
48331,98.14874,1,325,Farmington,MI,42.51,-83.41,6.00
10011,98.13351,1,326,New York,NY,40.74,-74.00,2560664.00
92121,98.12177,1,327,San Diego,CA,32.90,-117.21,20807.00
22314,98.11541,1,328,Alexandria,VA,38.81,-77.06,242.00
44236,98.10563,1,329,Hudson,OH,41.24,-81.48,2573.00
77401,98.09846,1,330,Bellaire,TX,29.83,-95.43,839.00
